Designator,Val,Package,MidX,MidY,Rotation,Layer
BT1,CR2032,MY-2032-12,120.7516,-78.74,180,top
C1,10u,CP_EIA-3216-18_Kemet-A,105.7656,-78.9432,-90,top
C2,0.1u,C_0805_2012Metric,96.6193,-82.1307,180,top
D1,PWR,LED_0805_2012Metric,58.0636,-74.8784,0,top
D2,INIT,LED_0805_2012Metric,64.2612,-74.8784,0,top
D3,RDY,LED_0805_2012Metric,70.6112,-74.8784,0,top
D4,RUN,LED_0805_2012Metric,76.9612,-74.8784,0,top
D5,IDLE,LED_0805_2012Metric,83.2604,-74.8784,0,top
D6,RA_R,LED_0805_2012Metric,69.2912,-84.9884,0,top
D7,RB_R,LED_0805_2012Metric,73.0781,-84.9884,0,top
D8,RC_R,LED_0805_2012Metric,76.9112,-84.9884,0,top
D9,RD_R,LED_0805_2012Metric,80.6981,-84.9884,0,top
D10,RE_R,LED_0805_2012Metric,84.5081,-84.9884,0,top
D11,RA_G,LED_0805_2012Metric,69.2912,-82.9564,0,top
D12,RB_G,LED_0805_2012Metric,73.0781,-82.9564,0,top
D13,IDLE,LED_0805_2012Metric,76.9112,-82.9564,0,top
D14,RD_G,LED_0805_2012Metric,80.6981,-82.9564,0,top
D15,RE_G,LED_0805_2012Metric,84.5081,-82.9564,0,top
J1,SWIO,PinHeader_1x03_P2.54mm_Vertical,133.35,-109.22,180,top
R1,470,R_0603_1608Metric,58.0636,-76.7072,180,top
R2,470,R_0603_1608Metric,64.312,-76.7072,180,top
R3,470,R_0603_1608Metric,70.662,-76.7072,180,top
R4,470,R_0603_1608Metric,77.012,-76.7072,180,top
R5,470,R_0603_1608Metric,83.3112,-76.7072,180,top
R6,10k,R_0603_1608Metric,67.4116,-110.9472,0,top
R7,10k,R_0603_1608Metric,74.93,-111.0488,0,top
R8,10k,R_0603_1608Metric,82.6516,-111.0996,0,top
R9,10k,R_0603_1608Metric,90.3102,-111.2012,0,top
R10,10k,R_0603_1608Metric,97.7778,-111.1504,0,top
R11,470,R_0603_1608Metric,69.3298,-86.7156,180,top
R12,3.3k,R_0603_1608Metric,69.3298,-88.2396,180,top
R13,470,R_0603_1608Metric,73.1134,-86.7156,180,top
R14,3.3k,R_0603_1608Metric,73.1134,-88.2396,180,top
R15,470,R_0603_1608Metric,76.8726,-86.7156,180,top
R16,3.3k,R_0603_1608Metric,76.8726,-88.2396,180,top
R17,470,R_0603_1608Metric,80.6826,-86.7156,180,top
R18,3.3k,R_0603_1608Metric,80.6826,-88.2396,180,top
R19,470,R_0603_1608Metric,84.4682,-86.7156,180,top
R20,3.3k,R_0603_1608Metric,84.4682,-88.2396,180,top
SW1,PWR,SW_SPDT_Shouhan_MSK12C02,134.03,-91.73,90,top
SW2,A,BTN_XUNPU_TS_1088-AR02016,67.2998,-113.6271,0,top
SW3,B,BTN_XUNPU_TS_1088-AR02016,74.9198,-113.6271,0,top
SW4,C,BTN_XUNPU_TS_1088-AR02016,82.5398,-113.6271,0,top
SW5,D,BTN_XUNPU_TS_1088-AR02016,90.1598,-113.6271,0,top
SW6,RST,BTN_XUNPU_TS_1088-AR02016,97.7798,-113.6271,0,top
U1,CH32V003FxUx,QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm,96.6309,-85.8427,45,top
